"","EmployeeNumber","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","PropensityToStay"
"352",471,32,"Travel_Rarely",1062,"Research & Development",2,3,3,"Female",75,3,1,"Laboratory Technician","Married",2370,3956,1,"No",13,3,3,1,8,4,3,8,0,0,7,45
"1273",1782,38,"Travel_Rarely",1153,"Research & Development",6,2,4,"Female",40,2,1,"Laboratory Technician","Married",3702,16376,1,"No",11,3,2,1,5,3,3,5,4,0,4,52
"1467",2062,39,"Travel_Rarely",613,"Research & Development",6,1,4,"Male",42,2,3,"Healthcare Representative","Married",9991,21457,4,"No",15,3,1,1,9,5,3,7,7,1,7,75
"1105",1558,29,"Travel_Rarely",598,"Research & Development",9,3,3,"Male",91,4,1,"Research Scientist","Married",2451,22376,6,"No",18,3,1,2,5,2,2,1,0,0,0,56
"775",1074,55,"Non-Travel",444,"Research & Development",2,1,3,"Male",40,2,4,"Manager","Single",16756,17323,7,"No",15,3,2,0,31,3,4,9,7,6,2,62
"1162",1638,38,"Travel_Rarely",397,"Research & Development",2,2,4,"Female",54,2,3,"Manufacturing Director","Married",7756,14199,3,"Yes",19,3,4,1,10,6,4,5,4,0,2,65
"578",802,37,"Travel_Rarely",571,"Research & Development",10,1,4,"Female",82,3,1,"Research Scientist","Divorced",2782,19905,0,"Yes",13,3,2,2,6,3,2,5,3,4,3,49
"326",442,31,"Travel_Frequently",798,"Research & Development",7,2,3,"Female",48,2,3,"Manufacturing Director","Married",8943,14034,1,"No",24,4,1,1,10,2,3,10,9,8,9,66
"686",956,26,"Travel_Frequently",1283,"Sales",1,3,3,"Male",52,2,2,"Sales Executive","Single",4294,11148,1,"No",12,3,2,0,7,2,3,7,7,0,7,52
"1397",1968,53,"Travel_Rarely",1168,"Sales",24,4,1,"Male",66,3,3,"Sales Executive","Single",10448,5843,6,"Yes",13,3,2,0,15,2,2,2,2,2,2,24
"834",1162,27,"Travel_Rarely",199,"Research & Development",6,3,4,"Male",55,2,1,"Research Scientist","Married",2539,7950,1,"No",13,3,3,1,4,0,3,4,2,2,2,54
"41",53,35,"Travel_Rarely",464,"Research & Development",4,2,3,"Male",75,3,1,"Laboratory Technician","Divorced",1951,10910,1,"No",12,3,3,1,1,3,3,1,0,0,0,65
"1469",2065,49,"Travel_Frequently",1023,"Sales",2,3,4,"Male",63,2,2,"Sales Executive","Married",5390,13243,2,"No",14,3,4,0,17,3,2,9,6,0,8,47
"970",1363,48,"Travel_Rarely",855,"Research & Development",4,3,4,"Male",54,3,3,"Manufacturing Director","Single",7898,18706,1,"No",11,3,3,0,11,2,3,10,9,0,8,63
